Complaint_ID;Shipment_ID;Complaint_DateTime;Complaint_Category;Complaint_Reason;Complaint_Channel;Resolved_Flag
CMP-0005412;SHP-2026-0216582;2026-10-11 09:00:34;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0000326;SHP-2025-0013282;2025-02-23 17:25:45;Late Delivery;Delivery date repeatedly changed;Email;FALSE
CMP-0005361;SHP-2026-0214424;2026-11-01 11:24:40;Damaged Shipment;Contents damaged;Phone;TRUE
CMP-0005573;SHP-2026-0222523;2026-11-26 12:47:30;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0001645;SHP-2025-0066372;2025-08-08 01:41:05;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0004774;SHP-2026-0191421;2026-08-28 21:36:53;Incorrect Delivery;Other;Web Form;TRUE
CMP-0005037;SHP-2026-0201418;2026-09-16 13:45:05;Other;Wrong delivery instructions;Web Form;TRUE
CMP-0004865;SHP-2026-0195119;2026-08-12 07:42:05;Damaged Shipment;Contents damaged;Phone;TRUE
CMP-0000206;SHP-2025-0008503;2025-02-24 03:18:07;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0004852;SHP-2026-0194565;2026-08-21 08:18:32;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0000600;SHP-2025-0023851;2025-03-07 07:05:21;Incorrect Delivery;Other;Phone;TRUE
CMP-0001787;SHP-2025-0071417;2025-08-17 16:37:51;Other;Other;Phone;TRUE
CMP-0003258;SHP-2026-0128317;2026-01-20 16:00:47;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0002541;SHP-2025-0102539;2025-11-21 05:04:26;Other;Wrong delivery instructions;Web Form;TRUE
CMP-0005732;SHP-2026-0228656;2026-11-29 11:01:30;Failed Delivery;Delivery unsuccessful;Phone;TRUE
CMP-0001387;SHP-2025-0056059;2025-07-25 00:19:35;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0000111;SHP-2025-0004591;2025-01-15 08:43:59;Damaged Shipment;Package damaged;Email;TRUE
CMP-0005946;SHP-2026-0236025;2027-01-03 20:49:06;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0001334;SHP-2025-0054068;2025-07-22 21:00:03;Other;Wrong delivery instructions;Email;TRUE
CMP-0005585;SHP-2026-0223051;2026-12-04 01:57:01;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000476; SHP-2025-0018700 ;2025-03-30 05:13:40;Late Delivery;Long transit time;Phone;TRUE
CMP-0004133;SHP-2026-0165352;2026-06-02 06:35:30;Late Delivery;Long transit time;Web Form;TRUE
CMP-0003596;SHP-2026-0142481;2026-03-21 11:09:51;Failed Delivery;Customer not available;Email;TRUE
CMP-0001580;SHP-2025-0063919;2025-08-20 18:51:17;Failed Delivery;Repeated delivery attempt;Phone;FALSE
CMP-0002206;SHP-2025-0088857;2025-10-23 07:55:02;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0002815;SHP-2025-0111753;2025-12-06 04:49:10;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0003938;SHP-2026-0156148;2026-04-15 12:45:59;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0004684;SHP-2026-0187675;2026-07-18 05:30:07;Incorrect Delivery;Other;Web Form;TRUE
CMP-0003142;SHP-2026-0123162;2026-01-31 05:07:21;Other;Other;Email;TRUE
CMP-0006273;SHP-2026-0245866;2026-12-16 17:50:12;Late Delivery;Long transit time;Email;TRUE
CMP-0000761;SHP-2025-0029895;2025-05-04 19:19:45;Other;Wrong delivery instructions;Email;TRUE
CMP-0000621;SHP-2025-0024580;2025-03-27 13:20:52;Late Delivery;Long transit time;Phone;TRUE
CMP-0000357;SHP-2025-0014365;2025-02-26 16:45:30;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000079;SHP-2025-0003111;2025-01-31 17:59:40;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0002257;SHP-2025-0090883;2025-10-25 12:13:30;Failed Delivery;Returned to sender;Chat;TRUE
CMP-0004845;SHP-2026-0194234;2026-08-07 15:48:11;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0001234;SHP-2025-0049833;2025-06-22 13:21:02;Other;Wrong delivery instructions;Email;TRUE
CMP-0004816;SHP-2026-0192929;2026-08-24 16:26:43;Failed Delivery;Courier did not reach customer;Chat;TRUE
CMP-0003341;SHP-2026-0131940;2026-03-05 02:06:39;Failed Delivery;Returned to sender;Phone;TRUE
CMP-0006297;SHP-2026-0246628;2026-12-28 15:14:33;Incorrect Delivery;Other;Email;TRUE
CMP-0001017;SHP-2025-0041149;2025-06-01 16:23:01;Incorrect Delivery;Other;Email;TRUE
CMP-0004305;SHP-2026-0172982;2026-07-03 01:36:33;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0001603;SHP-2025-0064960;2025-08-31 08:53:57;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0005728;SHP-2026-0228491;2026-11-11 23:14:20;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0001794;SHP-2025-0071685;2025-08-11 02:38:08;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0006133;SHP-2026-0241456;2026-12-25 15:30:49;Late Delivery;Long transit time;Phone;TRUE
CMP-0001341;SHP-2025-0054255;2025-07-31 02:35:28;Incorrect Delivery;Other;Email;TRUE
CMP-0001321;SHP-2025-0053330;2025-07-01 17:10:41;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0001399;SHP-2025-0056482;2025-08-07 13:44:03;Failed Delivery;Customer not available;Chat;TRUE
CMP-0004289;SHP-2026-0172063;2026-06-13 06:22:08;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0006087;SHP-2026-0240423;2026-12-11 18:51:50;Incorrect Delivery;Tracking issue;Chat;TRUE
CMP-0002547;SHP-2025-0102690;2025-11-28 02:02:28;Other;Tracking issue;Email;TRUE
CMP-0001689;SHP-2025-0067879;2025-08-20 19:40:55;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0000130;SHP-2025-0005242;2025-01-09 17:42:48;Other;Tracking issue;Web Form;TRUE
CMP-0003805;SHP-2026-0150624;2026-04-27 14:43:18;Other;Wrong delivery instructions;Email;TRUE
CMP-0006318;SHP-2026-0247465;2026-12-22 08:49:18;Late Delivery;Delivery date repeatedly changed;Phone;FALSE
CMP-0004196;SHP-2026-0167888;2026-07-02 14:07:11;Lost Shipment;No tracking progress;Phone;TRUE
CMP-0003170;SHP-2026-0124409;2026-01-16 01:43:18;Other;Tracking issue;Phone;TRUE
CMP-0003659;SHP-2026-0145094;2026-03-26 02:17:47;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0004678;SHP-2026-0187479;2026-07-17 04:28:35;Other;Wrong delivery instructions;Email;TRUE
CMP-0002375;SHP-2025-0096006;2025-11-14 11:27:23;Failed Delivery;Customer not available;Email;TRUE
CMP-0004741;SHP-2026-0190034;2026-08-11 04:16:36;Incorrect Delivery;Tracking issue;Web Form;TRUE
CMP-0003568;SHP-2026-0140922;2026-03-29 22:26:39;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0000683;SHP-2025-0027355;2025-04-04 17:13:46;Damaged Shipment;Package damaged;Phone;TRUE
CMP-0005003;SHP-2026-0200159;2026-09-11 11:13:41;Incorrect Delivery;Wrong delivery instructions;Email;TRUE
CMP-0000751;SHP-2025-0029695;2025-04-23 08:08:00;Incorrect Delivery;Other;Web Form;TRUE
CMP-0005909;SHP-2026-0235008;2026-12-12 03:49:54;Damaged Shipment;Packaging failure;Phone;TRUE
CMP-0003332;SHP-2026-0131427;2026-03-05 07:10:39;Failed Delivery;Customer not available;Phone;TRUE
CMP-0005537;SHP-2026-0221381;2026-11-15 15:37:41;Failed Delivery;;Chat;TRUE
CMP-0005741;SHP-2026-0228995;2026-11-10 00:21:05;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0003191;SHP-2026-0125328;2026-01-27 00:05:21;Other;Other;Web Form;TRUE
CMP-0005733;SHP-2026-0228668;2026-11-11 23:36:06;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0005832;SHP-2026-0231955;2026-11-27 16:15:56;Lost Shipment;Declared lost;Web Form;TRUE
CMP-0000619;SHP-2025-0024461;2025-04-01 03:50:30;Incorrect Delivery;Tracking issue;Web Form;TRUE
CMP-0004059;SHP-2026-0162112;2026-05-21 07:04:42;Late Delivery;Long transit time;Chat;TRUE
CMP-0005621;SHP-2026-0224554;2026-11-13 09:35:45;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0003432;SHP-2026-0135552;2026-02-27 22:51:27;Failed Delivery;Repeated delivery attempt;Chat;TRUE
CMP-0000667;SHP-2025-0026655;2025-04-08 09:50:53;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0000044;SHP-2025-0001929;2025-01-21 23:16:50;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0000916;SHP-2025-0036311;2025-05-22 22:06:10;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0003508;SHP-2026-0138401;2026-03-22 20:22:02;Other;Tracking issue;Email;FALSE
CMP-0000629;SHP-2025-0025006;2025-04-25 18:44:14;Incorrect Delivery;Other;Web Form;TRUE
CMP-0005187;SHP-2026-0208190;2026-10-03 08:00:06;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0001511;SHP-2025-0060628;2025-07-22 05:45:55;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0005304;SHP-2026-0212865;2026-10-27 19:50:34;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000239;SHP-2025-0009746;2025-02-16 04:49:22;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0003456;SHP-2026-0136412;2026-02-20 06:33:45;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0005384;SHP-2026-0215398;2026-10-17 11:33:20;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0003361;SHP-2026-0132830;2026-03-03 11:19:07;Incorrect Delivery;Other;Email;TRUE
CMP-0005302;SHP-2026-0212807;2026-10-27 17:02:44;Other;Tracking issue;Web Form;TRUE
CMP-0001551;SHP-2025-0062358;2025-07-23 18:06:55;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0004925;SHP-2026-0197245;2026-08-24 04:21:25;Incorrect Delivery;Tracking issue;Chat;TRUE
CMP-0000161;SHP-2025-0006569;2025-01-20 09:12:10;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0001969;SHP-2025-0079574;2025-09-21 00:01:48;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0005391;SHP-2026-0215668;2026-10-12 17:39:04;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0002810;SHP-2025-0111577;2025-12-30 00:02:06;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0005920;SHP-2026-0235251;2026-12-12 07:19:10;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0001535;SHP-2025-0061841;2025-07-07 01:16:36;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0001987;SHP-2025-0080476;2025-09-11 21:52:38;Incorrect Delivery;Wrong delivery instructions;Email;TRUE
CMP-0000277;SHP-2025-0011319;2025-02-17 04:45:40;Other;Other;Email;TRUE
CMP-0002496;SHP-2025-0101002;2025-12-02 00:22:22;Other;Wrong delivery instructions;Email;TRUE
CMP-0000030;SHP-2025-0001468;2025-01-16 04:29:52;Lost Shipment;Declared lost;Email;TRUE
CMP-0002226;SHP-2025-0089577;2025-10-30 07:47:12;Late Delivery;Long transit time;Chat;TRUE
CMP-0004957;SHP-2026-0198477;2026-09-24 18:23:42;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0000402;SHP-2025-0016063;2026-01-02 03:00:54;Other;Other;Phone;TRUE
CMP-0000840;SHP-2025-0033192;2025-04-10 12:59:36;Late Delivery;Long transit time;Chat;TRUE
CMP-0004685;SHP-2026-0187768;2026-07-28 04:48:41;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0000925;SHP-2025-0036586;2025-05-22 13:31:30;Incorrect Delivery;Other;Phone;TRUE
CMP-0004169;SHP-2026-0166747;2026-05-10 02:36:45;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0005198;SHP-2026-0208508;2026-09-17 11:51:58;Other;Other;Web Form;TRUE
CMP-0004791;SHP-2026-0191817;2026-08-24 18:23:33;Failed Delivery;Delivery unsuccessful;Phone;TRUE
CMP-0001337;SHP-2025-0054156;2025-07-31 08:35:43;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0006394;SHP-2026-0249959;2026-12-30 21:12:09;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0005764;SHP-2026-0229783;2026-11-28 07:48:27;Other;Other;Phone;TRUE
CMP-0004390;SHP-2026-0176210;2026-07-04 18:04:39;Other;Other;Web Form;TRUE
CMP-0004582;SHP-2026-0183195;2026-07-11 15:35:26;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0001602;SHP-2025-0064868;2025-08-14 23:01:08;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0004009;SHP-2026-0160171;2026-05-24 23:40:07;Other;Other;Phone;TRUE
CMP-0004555;SHP-2026-0182347;2026-07-22 09:03:40;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0006389;SHP-2026-0249792;2027-01-06 06:11:18;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0004193;SHP-2026-0167721;2026-06-05 07:02:52;Other;Tracking issue;Web Form;TRUE
CMP-0004356;SHP-2026-0174999;2026-06-27 16:30:18;Late Delivery;Long transit time;Web Form;TRUE
CMP-0000065;SHP-2025-0002714;2025-01-14 21:19:26;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0002790;SHP-2025-0111103;2025-12-12 12:16:25;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0003013;SHP-2025-0118391;2025-12-07 06:12:45;Late Delivery;Long transit time;Phone;TRUE
CMP-0003640;SHP-2026-0144460;2026-04-01 11:06:11;Incorrect Delivery;Tracking issue;Web Form;FALSE
CMP-0000638;SHP-2025-0025301;2025-04-09 07:19:21;Late Delivery;Long transit time;Web Form;TRUE
CMP-0003506;SHP-2026-0138354;2026-03-13 02:10:20;Other;Tracking issue;Email;TRUE
CMP-0006000;SHP-2026-0237918;2027-01-05 16:00:02;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0003487;SHP-2026-0137447;2026-02-14 00:43:41;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0001372;SHP-2025-0055224;2025-07-26 01:22:05;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0002058;SHP-2025-0083153;2025-10-18 02:18:21;Other;Other;Email;TRUE
CMP-0002500;SHP-2025-0101127;2025-11-05 20:29:00;Other;Tracking issue;Phone;TRUE
CMP-0004720;SHP-2026-0189375;2026-09-01 14:43:35;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0001743;SHP-2025-0069841;2025-08-23 23:30:30;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0003772;SHP-2026-0149111;2026-05-04 01:06:26;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0000330;SHP-2025-0013446;2025-02-11 23:09:09;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0003829;SHP-2026-0151499;2026-05-05 22:04:46;Other;Other;Email;TRUE
CMP-0003251;SHP-2026-0127853;2026-02-05 01:39:16;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0000021;SHP-2025-0000885;2025-02-06 00:03:51;Late Delivery;Long transit time;Email;TRUE
CMP-0003541;SHP-2026-0139643;2026-04-08 07:13:41;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0003720;SHP-2026-0147433;2026-03-22 03:02:58;Lost Shipment;No tracking progress;Phone;TRUE
CMP-0001875;SHP-2025-0074800;2025-09-15 15:12:38;Failed Delivery;Returned to sender;Chat;FALSE
CMP-0000514;SHP-2025-0020226;2025-03-18 00:03:30;Damaged Shipment;Packaging failure;Email;TRUE
CMP-0004142;SHP-2026-0165675;2026-05-16 18:48:48;Incorrect Delivery;Tracking issue;Chat;TRUE
CMP-0001288;SHP-2025-0051801;2025-06-26 19:24:35;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0003198;SHP-2026-0125767;2026-02-03 20:40:00;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0006281;SHP-2026-0246205;2027-01-01 05:04:02;Late Delivery;Long transit time;Phone;TRUE
CMP-0002389;SHP-2025-0096493;2025-11-15 11:36:15;Failed Delivery;Returned to sender;Web Form;TRUE
CMP-0004036;SHP-2026-0161277;2026-05-27 05:24:46;Lost Shipment;Declared lost;Phone;TRUE
CMP-0000296;SHP-2025-0012117;2025-02-25 09:27:13;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0000096;SHP-2025-0003955;2025-02-03 16:53:17;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0003288;SHP-2026-0129465;2026-01-28 14:41:25;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0000561;SHP-2025-0022133;2025-03-08 05:28:16;Failed Delivery;Customer not available;Email;TRUE
CMP-0001029;SHP-2025-0041583;2025-05-17 07:10:13;Incorrect Delivery;Other;Email;TRUE
CMP-0001168;SHP-2025-0047265;2025-07-03 00:53:09;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0005092;SHP-2026-0203876;2026-09-14 13:41:52;Other;Wrong delivery instructions;Email;TRUE
CMP-0001629;SHP-2025-0065691;2025-08-21 22:50:15;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0004379;SHP-2026-0175600;2026-07-03 10:41:48;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0002243;SHP-2025-0090249;2025-10-18 13:18:19;Other;Wrong delivery instructions;Email;TRUE
CMP-0002031;SHP-2025-0081773;2025-09-26 18:36:38;Damaged Shipment;Contents damaged;Email;TRUE
CMP-0000025;SHP-2025-0001163;2025-01-18 14:48:39;Late Delivery;Long transit time;Email;FALSE
CMP-0005061;SHP-2026-0202534;2026-09-26 21:57:52;Damaged Shipment;Packaging failure;Email;TRUE
CMP-0001893;SHP-2025-0075588;2025-09-06 21:39:59;Incorrect Delivery;Wrong delivery instructions;Email;FALSE
CMP-0002814;SHP-2025-0111706;2026-01-02 12:26:08;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000069;SHP-2025-0002827;2025-01-29 04:13:02;Incorrect Delivery;Other;Phone;TRUE
CMP-0001907;SHP-2025-0076256;2025-09-14 00:31:40;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0005711;SHP-2026-0228177;2026-11-06 20:44:24;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0002057;SHP-2025-0083118;2026-01-02 07:13:24;Other;Other;Email;TRUE
CMP-0001895;SHP-2025-0075741;2025-09-14 22:35:15;Lost Shipment;No tracking progress;Email;TRUE
CMP-0000551;SHP-2025-0021665;2025-03-28 09:16:59;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0005263;SHP-2026-0211223;2026-10-10 05:55:03;Incorrect Delivery;Other;Chat;TRUE
CMP-0005938;SHP-2026-0235732;2026-12-29 09:31:00;Late Delivery;Long transit time;Phone;TRUE
CMP-0000072;SHP-2025-0002931;2025-01-30 01:09:01;Other;Wrong delivery instructions;Email;TRUE
CMP-0000695; SHP-2025-0027867 ;2025-05-04 00:41:02;Incorrect Delivery;Tracking issue;Web Form;FALSE
CMP-0000582;SHP-2025-0023082;2025-03-24 00:24:02;Late Delivery;Long transit time;Phone;TRUE
CMP-0001772;SHP-2025-0070685;2025-08-21 09:12:50;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0006182;SHP-2026-0242938;2026-12-24 07:53:41;Late Delivery;Long transit time;Phone;TRUE
CMP-0003729;SHP-2026-0147749;2026-04-14 04:19:16;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0004444;SHP-2026-0178448;2026-08-01 22:00:01;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0000266;SHP-2025-0010984;2025-02-24 11:16:48;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000762;SHP-2025-0029971;2025-04-11 13:41:37;Incorrect Delivery;Tracking issue;Web Form;TRUE
CMP-0001561;SHP-2025-0063188;2025-08-03 05:50:44;Incorrect Delivery;Other;Chat;TRUE
CMP-0000536;SHP-2025-0021161;2025-03-24 17:38:37;Other;Wrong delivery instructions;Phone;TRUE
CMP-0005933;SHP-2026-0235660;2027-01-02 11:54:57;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0002046;SHP-2025-0082446;2025-09-26 13:08:08;Incorrect Delivery;Wrong delivery instructions;Email;TRUE
CMP-0005346;SHP-2026-0214045;2026-10-18 03:35:11;Other;Tracking issue;Web Form;TRUE
CMP-0001274; SHP-2025-0051209 ;2025-07-02 02:25:37;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0001205;SHP-2025-0048442;2025-06-18 07:13:55;Late Delivery;Long transit time;Chat;TRUE
CMP-0003668;SHP-2026-0145274;2026-03-24 20:47:55;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0002012;SHP-2025-0081115;2025-09-28 06:52:24;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0001695;SHP-2025-0068048;2025-08-19 17:22:03;Other;Wrong delivery instructions;Web Form;TRUE
CMP-0000056;SHP-2025-0002533;2025-02-03 01:05:56;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0001047;SHP-2025-0042236;2025-05-28 04:55:28;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0002339;SHP-2025-0094520;2025-11-07 02:16:58;Incorrect Delivery;Tracking issue;Email;FALSE
CMP-0003889;SHP-2026-0154223;2026-04-23 02:01:59;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0001721;SHP-2025-0069116;2025-08-25 18:49:25;Incorrect Delivery;Other;Email;TRUE
CMP-0002356;SHP-2025-0095222;2025-11-23 00:46:36;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0003024;SHP-2025-0118834;2025-12-27 19:25:27;Late Delivery;Long transit time; Phone ;TRUE
CMP-0004538;SHP-2026-0181537;2026-07-22 00:26:45;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000067;SHP-2025-0002773;2025-01-16 16:56:36;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000766;SHP-2025-0030187;2025-04-14 19:49:01;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0003732;SHP-2026-0147923;2026-04-27 07:06:20;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0001060;SHP-2025-0042646;2025-05-28 21:02:46;Incorrect Delivery;Other;Web Form;TRUE
CMP-0001087;SHP-2025-0043824;2025-05-12 16:08:42;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0001662;SHP-2025-0067015;2025-08-26 04:57:47;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000649;SHP-2025-0025601;2026-01-01 07:24:37;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0001527;SHP-2025-0061272;2025-08-01 14:35:42;Incorrect Delivery;Other;Web Form;TRUE
CMP-0001488;SHP-2025-0059844;2025-07-15 20:16:56;Other;Tracking issue;Phone;TRUE
CMP-0002595;SHP-2025-0104031;2025-11-08 17:05:33;Late Delivery;Delivered after promised date;Web Form;TRUE
